"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 1
,,,,,Property Management Version,,,,,,,,,System Date: 02-11-2021,
,,,,,,,,,,,,,,System Time: 9:55 am,
,,,,,,Date:,02-01-2021,,,,,,,,
,,,,,,Property: 020-03 9300 W. Stockton Blvd.,,,,,,,,,
,,,,,,,"Elk Grove, CA 95758",,,,,,,,
,,,,Office,Lease,Monthly,Rent,NNN/,Other,Lease,Lease,-----Next Increase----,,Option,HVAC
Unit,Lease ID,Tenant,Sq. Ft,Sq. Ft.,Type,Rent,Sq/ft,OPEX,Charges,Starts,Expires,Date,Amount,Type,Charges
9300 W. Stockton Blvd.,,,,,,,,,,,,,,,
103,020WHI005-01,I. & A. White/E G Hearing Care,"1,461",,FS,"4,275.00",2.93,217.23,,02-01-15,01-31-22,,,Holdover,
,,,,,,,,,,,,02-01-22,"6,413",,
104,020INT003-01,Interwest Consulting Group Inc,,,FS,,,,,,,,,,
,,,,,,,,,,01-01-17,04-30-21,,,,
105,020INT003-01,Interwest Consulting Group Inc,"4,059",,FS,"9,985.00",2.46,200.09,46.00,,,,,Holdover,20.00
,,,,,,,,,,,,,,Renew/Extension,
,,,,,,,,,,06-01-05,04-30-21,,,,
,,,,,,,,,,,,05-01-21,"14,978",,
106,020INT003-01,Interwest Consulting Group Inc,,,FS,,,,,,,,,,
,,,,,,,,,,06-01-11,04-30-21,,,,
107,020INT003-01,Interwest Consulting Group Inc,,,FS,,,,,,,,,,
,,,,,,,,,,06-01-11,04-30-21,,,,
108,020INT003-01,Interwest Consulting Group Inc,,,FS,,,,,,,,,,
,,,,,,,,,,03-15-15,04-30-21,,,,
110,020CHI007-02,Children's Receiving Home/Sac,781,,FS,"2,070.00",2.65,116.71,,01-01-11,09-30-21,,,Holdover,
,,,,,,,,,,,,10-01-21,"3,105",,
111,020ROS001-02,The Rosa Law Group,654,,FS,"1,765.00",2.70,,,05-01-20,04-30-23,,,,
,,,,,,,,,,,,05-01-21,"1,818",,
,,,,,,,,,,,,05-01-22,"1,873",,
,,,,,,,,,,,,05-01-23,"2,810",,
112,VACANT,Since 8-31-2018,"1,107",,,,,,,,,,,,
200,020JOH010-02,Jane Johnson Speech Therapy,"3,426",,FS,"8,942.00",2.61,647.32,,07-01-15,08-31-21,,,Holdover,
,,,,,,,,,,,,09-01-21,"13,413",,
204,020ARD001-01,"Ardee, Inc.",528,,FS,"1,486.00",2.81,20.14,,12-15-16,12-31-22,,,Holdover,
,,,,,,,,,,,,01-01-22,"1,530",,
,,,,,,,,,,,,01-01-23,"2,295",,
205,020BLA006-01,Black Youth Leadership Project,"1,175",,FS,"3,173.00",2.70,,,02-01-21,02-28-24,,,Holdover,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,03-01-21,"3,173",,
,,,,,,,,,,,,03-01-22,"3,252",,
,,,,,,,,,,,,03-01-23,"3,333",,
,,,,,,,,,,,,03-01-24,"5,000",,
206,020MOR007-01,Blake Mori/Farmer's Insurance,730,,FS,"1,898.00",2.60,10.05,,12-01-18,01-31-24,,,Holdover,
,,,,,,,,,,,,,,Renew/Extension,
,,,,,,,,,,,,02-01-22,"1,956",,
,,,,,,,,,,,,02-01-23,"2,015",,
,,,,,,,,,,,,02-01-24,"3,023",,
208,020GOV001-01,Government Investment Partners,475,,FS,"1,330.00",2.80,,,12-01-20,11-30-21,,,Holdover,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,12-01-21,"1,995",,

"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 2
,,,,,Property Management Version,,,,,,,,,System Date: 02-11-2021,
,,,,,,,,,,,,,,System Time: 9:55 am,
,,,,,,Date:,02-01-2021,,,,,,,,
,,,,,,Property: 020-03 9300 W. Stockton Blvd.,,,,,,,,,
,,,,,,,"Elk Grove, CA 95758",,,,,,,,
,,,,Office,Lease,Monthly,Rent,NNN/,Other,Lease,Lease,-----Next Increase----,,Option,HVAC
Unit,Lease ID,Tenant,Sq. Ft,Sq. Ft.,Type,Rent,Sq/ft,OPEX,Charges,Starts,Expires,Date,Amount,Type,Charges
9300 W. Stockton Blvd.,,,,,,,,,,,,,,,
210,020TOW003-01,Tower Bridge Financial,730,,FS,"2,081.00",2.85,,,,,,,Holdover,
,,,,,,,,,,12-01-20,11-30-23,,,Holdover,
,,,,,,,,,,,,12-01-21,"2,146",,
,,,,,,,,,,,,12-01-22,"2,205",,
,,,,,,,,,,,,12-01-23,"3,308",,
Property 020-03-07 Summary Totals:,,,"15,126",0,,"37,005.00",,"1,211.55",45.99,,,,,,20.00
9281 Office Park Circle,,,,,,,,,,,,,,,
100,VACANT,Since 7-19-2020,"2,621",,,,,,,,,,,Holdover,
,,,,,,,,,,,,,,Termination,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,,,Termination,
105,020REN003-01,Renal Treatment Centers-Calif,"8,069",,MG,"20,575.00","2.55 1,156.36",,,02-01-04,03-31-26,,,Renew/Extension,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,04-01-21,"19,298",,
,,,,,,,,,,,,04-01-22,"19,332",,
,,,,,,,,,,,,04-01-23,"19,366",,
,,,,,,,,,,,,04-01-24,"19,399",,
,,,,,,,,,,,,04-01-25,"19,433",,
,,,,,,,,,,,,04-01-26,"29,149",,
110,VACANT,Since 3-31-2011,22,,,,,,,,,,,,
115,020OPE001-01,Open MRI of Elk Grove,"2,036",,MG,"5,043.00",2.48,116.56,,03-15-04,12-31-25,,,Holdover,
,,,,,,,,,,,,01-01-22,"5,169",,
,,,,,,,,,,,,01-01-23,"5,298",,
,,,,,,,,,,,,01-01-24,"5,431",,
,,,,,,,,,,,,01-01-25,"5,567",,
,,,,,,,,,,,,01-01-26,"8,351",,
120,020QUE001-01,Quest Diagnostics,"4,201",,MG,"9,872.00",2.35,279.69,,11-01-16,03-31-22,,,Renew/Extension,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,04-01-21,"10,082",,
,,,,,,,,,,,,04-01-22,"12,603",,
135,020WIL008-02,"Willdan Group, Inc.","4,346",,FS,"10,448.00",2.40,203.22,,02-20-17,04-30-22,,,Holdover,
,,,,,,,,,,,,05-01-21,"10,761",,
,,,,,,,,,,,,02-01-22,"14,142",,
,,,,,,,,,,,,05-01-22,"16,142",,
140,020ROU002-01,C. Athena Roussos,272,,FS,800.00,2.94,,,05-16-12,07-31-22,,,Holdover,
,,,,,,,,,,,,08-01-21,825,,
,,,,,,,,,,,,08-01-22,"1,238",,
142,020GON001-01,Renante Gonzales,311,,FS,900.00,2.89,,,10-01-18,09-30-21,,,Holdover,
,,,,,,,,,,,,10-01-21,"1,350",,
144,020SIE009-01,"Sierra Controls, LLC",287,,FS,947.00,3.30,,,,,,,Holdover,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,03-01-20,02-28-21,,,Holdover,
,,,,,,,,,,,,03-01-21,"1,421",,

"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 3
,,,,,Property Management Version,,,,,,,,,System Date: 02-11-2021,
,,,,,,,,,,,,,,System Time: 9:55 am,
,,,,,,Date:,02-01-2021,,,,,,,,
,,,,,,Property: 020-03 9281 Office Park Circle,,,,,,,,,
,,,,,,,"Elk Grove, CA 95758",,,,,,,,
,,,,Office,Lease,Monthly,Rent,NNN/,Other,Lease,Lease,-----Next Increase----,,Option,HVAC
Unit,Lease ID,Tenant,Sq. Ft,Sq. Ft.,Type,Rent,Sq/ft,OPEX,Charges,Starts,Expires,Date,Amount,Type,Charges
9281 Office Park Circle,,,,,,,,,,,,,,,
146,VACANT,Since 7-19-2020,309,,,,,,,,,,,,
148,020UNG001-02,Tri P. Ung,288,,FS,905.00,3.14,,,11-01-16,10-31-21,,,Holdover,
,,,,,,,,,,,,11-01-21,"1,358",,
150,020XAN001-01,Xander Mortgage & Real Estate,309,,FS,927.00,3.00,,,,,,,Holdover,
,,,,,,,,,,03-01-20,02-28-21,,,,
,,,,,,,,,,,,03-01-21,"1,391",,
152,020KNR001-01,"KNR Services, Inc.",346,,FS,"1,071.00",3.10,,,10-15-19,11-30-22,,,,
,,,,,,,,,,,,12-01-21,"1,103",,
,,,,,,,,,,,,12-01-22,"1,655",,
154,020BER005-01,Bera for Congress,233,,FS,673.00,2.89,,,08-01-12,12-31-22,,,Holdover,
,,,,,,,,,,,,01-01-22,697,,
,,,,,,,,,,,,01-01-23,"1,046",,
156,020WPG001-01,Wayne P Guanzon dba WPGTAX,200,,FS,610.00,3.05,,,01-01-13,07-31-22,,,Holdover,
,,,,,,,,,,,,08-01-21,620,,
,,,,,,,,,,,,08-01-22,930,,
158,020MOR004-01,Mortgage Tree Capital,224,,FS,630.00,2.81,,,02-01-14,02-28-21,,,Holdover,
,,,,,,,,,,,,03-01-21,945,,
160,020TRC001-01,TRC Engineers,400,,FS,"1,257.00",3.14,,,07-22-20,10-31-21,,,Termination,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,08-01-21,"1,295",,
,,,,,,,,,,,,11-01-21,"1,886",,
Property 020-03-09 Summary Totals:,,,"24,474",0,,"54,658.00",,"1,755.84",.00,,,,,,.00
Park Totals:,,,"39,600",0,,"91,663.00",,"2,967.39",45.99,,,,,,20.00

"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 4
,,,,,Property Management Version,,,,,,,,,System Date: 02-11-2021,
,,,,,,,,,,,,,,System Time: 9:55 am,
,,,,,,Date:,02-01-2021,,,,,,,,
,,,,,,Property: 020-05 1375 Exposition Blvd.,,,,,,,,,
,,,,,,,"Sacramento, CA 95815",,,,,,,,
,,,,Office,Lease,Monthly,Rent,NNN/,Other,Lease,Lease,-----Next Increase----,,Option,HVAC
Unit,Lease ID,Tenant,Sq. Ft,Sq. Ft.,Type,Rent,Sq/ft,OPEX,Charges,Starts,Expires,Date,Amount,Type,Charges
1375 Exposition Blvd.,,,,,,,,,,,,,,,
101,020FIR002-01,First Northern Bank,"3,908",,FS,"9,965.00",2.55,212.75,,03-11-16,03-31-30,,,Renew/Extension,
,,,,,,,,,,,,,,Termination,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,09-01-21,"10,161",,
,,,,,,,,,,,,09-01-22,"10,356",,
,,,,,,,,,,,,09-01-23,"10,552",,
,,,,,,,,,,,,09-01-24,"10,747",,
,,,,,,,,,,,,09-01-25,"10,942",,
,,,,,,,,,,,,09-01-26,"11,138",,
,,,,,,,,,,,,09-01-27,"11,333",,
,,,,,,,,,,,,09-01-28,"11,529",,
,,,,,,,,,,,,09-01-29,"11,724",,
,,,,,,,,,,,,04-01-30,"14,655",,
102,VACANT,Since 10-31-2017,"9,275",,,,,,,,,,,,
109,VACANT,Since 1-31-2017,"3,348","3,348",,,,,,,,,,,
201,020SEC005-01,Securities America,"3,185",,FS,"7,605.00",2.39,,,02-01-12,09-30-22,,,Holdover,
,,,,,,,,,,,,10-01-21,"7,757",,
,,,,,,,,,,,,10-01-22,"11,636",,
202,020PRO009-02,"Prohealth Home Care, Inc.",,,FS,,,,,02-01-20,01-31-25,,,,
220,020BOY003-01,Boyd Wealth Management,"1,778",,FS,"4,001.00",2.25,14.73,,05-01-18,07-31-22,,,Renew/Extension,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,08-01-21,"4,089",,
,,,,,,,,,,,,08-01-22,"6,134",,
230,020GRA009-01,Grant Bennett Associates,"3,908",,FS,"9,691.48",2.48,,,01-15-10,04-30-21,,,,
,,,,,,,,,,,,05-01-21,"12,114",,
240,VACANT,Since 8-31-2020,"3,457","3,487",,,,,,,,,,,
250,020PRO009-02,"Prohealth Home Care, Inc.","5,567",,FS,"13,188.00",2.37,289.92,,,,,,Holdover,
,,,,,,,,,,08-01-13,01-31-25,,,Holdover,
,,,,,,,,,,,,02-01-22,"13,584",,
,,,,,,,,,,,,02-01-23,"13,991",,
,,,,,,,,,,,,02-01-25,"20,987",,

"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 5
,,,,,Property Management Version,,,,,,,,,System Date: 02-11-2021,
,,,,,,,,,,,,,,System Time: 9:55 am,
,,,,,,Date:,02-01-2021,,,,,,,,
,,,,,,Property: 020-05 1375 Exposition Blvd.,,,,,,,,,
,,,,,,,"Sacramento, CA 95815",,,,,,,,
,,,,Office,Lease,Monthly,Rent,NNN/,Other,Lease,Lease,-----Next Increase----,,Option,HVAC
Unit,Lease ID,Tenant,Sq. Ft,Sq. Ft.,Type,Rent,Sq/ft,OPEX,Charges,Starts,Expires,Date,Amount,Type,Charges
1375 Exposition Blvd.,,,,,,,,,,,,,,,
300,020FIR002-02,First Northern Bank,"9,781",,FS,"20,540.00",2.10,,,07-01-19,03-31-30,,,Renew/Extension,
,,,,,,,,,,,,,,Right 1st Refusl,
,,,,,,,,,,,,,,Expansion,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,04-01-21,"21,518",,
,,,,,,,,,,,,04-01-22,"22,164",,
,,,,,,,,,,,,04-01-23,"22,829",,
,,,,,,,,,,,,04-01-24,"23,514",,
,,,,,,,,,,,,04-01-25,"24,219",,
,,,,,,,,,,,,04-01-26,"24,945",,
,,,,,,,,,,,,04-01-27,"25,694",,
,,,,,,,,,,,,04-01-28,"26,465",,
,,,,,,,,,,,,04-01-29,"27,259",,
,,,,,,,,,,,,04-01-30,"34,074",,
310,020NEL003-01,Nelson Staffing,"4,458",,FS,"11,145.00",2.50,,,02-01-16,07-31-26,,,Renew/Extension,
,,,,,,,,,,,,,,Relocation,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,06-01-21,"10,922",,
,,,,,,,,,,,,06-01-22,"11,195",,
,,,,,,,,,,,,06-01-23,"11,475",,
,,,,,,,,,,,,06-01-24,"11,762",,
,,,,,,,,,,,,06-01-25,"12,056",,
,,,,,,,,,,,,08-01-26,"18,084",,
320,VACANT,Since 3-13-2020,"4,796",,,,,,,,,,,Termination,
,,,,,,,,,,,,,,Holdover,
CONFVACANT,,Since,,294,,,,,,,,,,,
GYM VACANT,,Since,,309,,,,,,,,,,,
Property 020-05-01 Summary Totals:,,,"53,461","7,438",,"76,135.48",,517.40,.00,,,,,,.00
Park Totals:,,,"53,461","7,438",,"76,135.48",,517.40,.00,,,,,,.00
